key,en,fr,,
title,Dashboard Title,Titre du tableau de bord,,
login,Login,Connexion,,
view_login,View Login,Vue connexion,,
dataset,Dataset,Jeu de données,,
view_dataset,View Dataset,Vue jeu de données,,
indicator_tracker,Indicator Tracker,Suivi des indicateurs,,
area,Area,Zone,,
disease,Disease,Maladie,,
indicator,Indicator,Indicateur,,
select_country,Select Country or Region,Choisir un pays ou une région,,
select_year,Select Desired Year,Sélectionner l'année,,
export_data,Export Chosen Data,Exporter les données,,
save_excel,Save as Excel,Sauvegarder en Excel,,
progress_metrics,Progress Metrics,Métriques de progression,,
fact_sheet,Fact Sheet,Fiche d'information,,
action_tracker,Action Tracker,Suivi des actions,,
update,Update,Mise à jour,,
updated_on,Updated on March 4,Mis à jour le 4 mars 2026,,2026
logout,Log-out,Déconnexion,,
who_region,WHO African Region,Région africaine de l’OMS,,
tvd,Tropical and Vector-Born Diseases (TVD),Tropicales et maladies vectorielles (TVD),,
welcome,Welcome to the application,Bienvenue dans l'application,,
content,Main content,Contenu principal,,
download_data,Download Data,Télécharger les données,,
mapping_data_inputs,Mapping Data Inputs,Données pour la cartographie,,
export_indicator_data,Export Indicator Data,Exporter les indicateurs,,
filter_dataset,Filter dataset,Filtrer le jeu de données,,
pivot_table,Pivot Table,Tableau croisé dynamique,,
